Posicio;Cançó;Autor;Gèneres;Fragments recomanats;Ranking;T'agrada?;S'assembla?
1;Houdini;Dua Lipa;Pop, Dance Pop;4;37;Sí;Sí
2;Dance The Night;Dua Lipa;Disco, Pop;4;111;Sí;Sí
3;Standing Next to You;Jung Kook, Latto;Pop, Dance Pop;3;36;Sí;Sí
4;Supernova;aespa;Pop, Electropop;3;139;Sí;Sí
5;LUNA;Feid, ATL Jacob;Reggaeton, Latin Urban;3;32;Sí;Sí
6;Yes, And?;Ariana Grande;Pop, Dance Pop;3;96;Sí;Sí
7;Stick Season;Noah Kahan;Folk, Indie;3;10;Sí;Sí
8;Si Antes Te Hubiera Conocido;KAROL G;Reggaeton, Latin Urban;2;66;Sí;Sí
9;Thinki'n Bout me;Morgan Wallen;Country Pop;2;92;Sí;Sí
10;Don't Stop Believin';Journey;Rock;2;143;Sí;No
;;;;;;;
