Posicio;Cançó;Autor;Gèneres;Fragments recomanats;Ranking;;
1;Según Quien;Maluma, Carin Leon;Corridos tumbados;5;77;;
2;Take On Me;a-ha;Synth Pop;5;65;;
3;I Ain't Worried;OneRepubic;Pop Rock;3;62;;
4;Training Season;Dua Lipa;Pop;3;113;;
5;Riptide;Vance Joy;Folk;2;75;;
6;BAND4BAND;Central Cee, Lil Baby;Rap, Trap;2;163;;
7;Don't Stop Believin';Journey;Rock;2;143;;
8;The Night We Met;Lord Huron;Indie;1;35;;
9;Jingle Bell Rock;Bobby Helms;Christmas;1;164;;
10;Bye Bye Bye;*NSYNC;Pop;1;191;;
