Posicio;Cançó;Autor;Gèneres;Fragments recomanats;Ranking
1;Si No Es Contigo;Cris Mj;Reggaeton, Latin Urban;5;194
2;Santa;Rvssian, Rauw Alejandro, Ayra StArr;Reggaeton, Afrobeats;3;140
3;Perfect;Ed Sheeran;Pop;3;54
4;Dial Drunk;Noah Kahan, Post Malone;Folk Rock, Hip-Hop;3;190
5;Daylight;David Kushner;Indie Pop, Folk Pop;2;57
6;When I Was Your Name;Bruno Mars;Pop;2;165
7;I Remember Everything (feat. Kacey Musgraves);Zach Bryan, Kacey Musgraves;Country;2;12
8;The Sound Of Silence ;Disturbed;Heavy Metal, Rock;2;172
9;As It Was;Harry Styles;Pop, Synth Pop;2;29
10;La Bebe;Yng Lvcas, Peso Pluma;Reggaeton, Corridos tumbados;1;160
