id;song;author;genres;filename;duration;nº fragments
1;Espresso;Sabrina Carpenter;Pop,Dance Pop;song_1;3:20;16
2;Beautiful Things;Benson Boone;Pop Rock,Indie Rock;song_2;3:12;16
3;BIRDS OF A FEATHER;Billie Eilish; Alternative Pop, Indie Pop;song_3;3:31;17
4;Gata Only;FloyyMenor, Cris Mj;Reggaeton,Latin Urban;song_4;3:35;17
5;Lose Control;Teddy Swims;Soul/Pop,R&B;song_5;3:30;17
6;End of Beginning;Djo;Indie Rock,Psychedelic Rock;song_6;2:39;13
7;Too Sweet;Hozier;Indie Folk,Alternative Folk;song_7;4:08;20
8;One Of The Girls;The Weeknd, JENNIE, Lily-Rose Depp;R&B/Pop,Synth Pop;song_8;4:04;20
9;Cruel Summer;Taylor Swift;Pop,Synth Pop;song_9;2:59;14
10;Die With A Smile;Lady Gaga, Bruno Mars;Pop, Ballad;song_10;4:12;21
11;i like the way you kiss me;Artemas;Electropop,Dance Pop;song_11;2:22;11
12;we can't be friends;Ariana Grande;Pop,Alternative Pop;song_12;3:48;19
13;Please Please Please;Sabrina Carpenter;Pop,Indie Pop;song_13;4:23;21
14;Good Luck, Babe!;Chappell Roan;Indie Pop,Synth Pop;song_14;3:38;18
15;greedy;Tate McRae;Dance Pop,Electropop;song_15;2:16;11
16;MILLION DOLLAR BABY;Tommy Richman;Alternative R&B,Hyperpop;song_16;2:35;12
17;Who;Jimin;K-Pop,R&B;song_17;3:27;17
18;A Bar Song (Tipsy);Shaboozey;Country,Country Rock;song_18;2:53;14
19;LUNA;Feid, ATL Jacob;Reggaeton,Latin Trap;song_19;3:16;16
20;Not Like Us;Kendrick Lamar;Hip-Hop/Rap,West Coast Hip-Hop;song_20;5:54;29
21;My Love Mine All Mine; Mitski;Indie Folk,Singer-Songwriter;song_21;2:18;11
22;I Wanna Be Yours;Arctic Monkeys;Indie Rock,Alternative Rock;song_22;3:03;15
23;Stick Season;Noah Kahan;Folk Rock,Americana;song_23;3:02;15
24;The Night We Met;Lord Huron;Indie Folk,Dream Pop;song_24;3:28;17
25;I Had Some Help (Feat. Morgan Wallen);Post Malone, Morgan Wallen;Country Pop,Southern Rock;song_25;3:21;16
26;Sweater Weather;The Neighbourhood;Indie Rock,Alternative Rock;song_26;4:00;20
27;FE!N (feat. Playboi Carti);Travis Scott, Playboi Carti;Hip-Hop/Rap,Trap;song_27;3:13;16
28;Seven (feat. Latto) (Explicit Ver.);Jung Kook, Latto;K-Pop,Hip-Hop;song_28;3:04;15
29;Fortnight (feat. Post Malone);Taylor Swift, Post Malone;Pop,Folk Pop;song_29;3:49;19
30;Si Antes Te Hubiera Conocido;KAROL G;Reggaeton,Latin Pop;song_30;3:15;16
31;As It Was;Harry Styles;Synth-Pop,Indie Pop;song_31;2:45;13
32;La Diabla;Xavi;Latin Urban,Corridos Tumbados;song_32;2:52;14
33;StarBoy;The Weeknd, Daft Punk;R&B/Pop,Electropop;song_33;3:50;19
34;Standing Next to You;Jung Kook, Latto;K-Pop,Dance Pop;song_34;3:26;17
35;Austin (Boots Stop Workin');Dasha;Country,Country Pop;song_35;2:51;14
36;See You Again (feat. Kali Uchis);Tyler The Creator, Kali Uchis;Hip-Hop/R&B,Neo Soul;song_36;3:00;15
37;Kill Bill;SZA;R&B,Alternative R&B;song_37;2:33;12
38;Yellow;Coldplay;Alternative Rock,Britpop;song_38;4:32;22
39;Another Love;Tom Odell;Indie Pop,Singer-Songwriter;song_39;4:01;20
40;Flowers;Miley Cyrus;Pop,Soft Rock;song_40;3:20;16
41;CARNIVAL; Â¥$, Kanye West, Ty Dolla $ign;Hip-Hop,Trap;song_41;4:21;21
42;Unwritten;Natasha Bedingfield;Pop,Soft Rock;song_42;3:45;18
43;I Remember Everything (feat. Kacey Musgraves);Zach Bryan, Kacey Musgraves;Country,Americana;song_43;3:47;18
44;QLONA;KAROL G, Peso Pluma;Reggaeton,Latin Trap;song_44;2:52;14
45;Saturn;SZA;R&B,Neo Soul;song_45;3:07;15
46;LUNCH;Billie Eilish;Alternative Pop,Hyperpop;song_46;2:59;14
47;Riptide;Vance Joy;Indie Folk,Folk Pop;song_47;3:24;17
48;Blinding Lights;The Weeknd;Synthwave/Pop,Retro Pop;song_48;3:23;16
49;PERRO NEGRO;Bad Bunny, Feid;Reggaeton,Latin Trap;song_49;2:42;13
50;Water;Tyla;Afrobeats,Amapiano;song_50;3:21;16
51;Lovin On Me;Jack Harlow;Pop-Rap, Pop;song_51;2:19;11
52;Save Your Tears;The Weeknd, Ariana Grande;Synth Pop, Pop;song_52;3:11;15
53;Die For You;The Weeknd, Ariana Grande;R&B;song_53;3:52;19
54;Snooze;SZA;R&B;song_54;3:23;16
55;Paint The Town Red;Doja Cat;Hip-Hop;song_55;3:51;19
